,document,star,label
0,'그래도 우리 잘 해냈지?'라고 말하는 듯한 마지막 눈빛교환이 잊혀지질 않는다 ,9,1
1,"와..그냥 감탄밖엔 안 나온다. 영상미며 음악이며..조폭, 건달, 검사, 신파 좋아하고 실험을 꺼리는 한국의 기성 영화인들 반성해라. 이제 겨우 두 편 만든 신인감독이 이 정도다 ",9,1
2,처음 들을때는 몰랐다 이 음악이 슬퍼질거란걸 ,7,1
3,"꿈과 사랑, 우리는 항상 성공인지 실패인지 평가만 해왔다. 하지만 라라랜드는 말해준다. ""봐! 꿈과 사랑, 그 흔들리는 파도가 얼마나 아름다운지"" ",10,1
4,마지막 회상신에서 처음과 달리 키스신으로 스토리시작될때 진짜 소리지를뻔... ,9,1
5,내일 죽으면 오늘 보러 갈만한 영화 ,10,1
6,마지막 10분 동안 휘몰아치는 감정의 소용돌이에 결국 눈물이 흐르게 만드는 마법같은 영화. 노트북 때에도 그렇고 라이언 고슬링은 이런 역할에 도가 튼 것 같다. ,10,1
7,관람객연인들을 위한 영화가 아니다. 여성관객들을 위한 영화도 아니다. 이 영화는 꿈꾸는 모든 이들을 위한 영화. 인생을 논하는 영화. ,10,1
8,관람객운행종료한 놀이공원에 노래가 계속 나오는 것같다. ,10,1
9,관람객재즈가 이토록 설레고 이렇게 슬프다니.라라랜드는 슬픔과 환희의 설레임이다. ,10,1
10,"이 영화의 백미는 마지막 부분에 남녀 주인공들의 IF 장면들... 이렇게 되지 못한 결말을 맞지만 그래도 서로의 꿈을 이루고 인정하는 듯한 둘만의 미소,,,, 뭔가 가슴 찡했다... ",10,1
11,위플래시가 음악에 대한 광기라면 이 영화는 열정이다. 같은날 개봉되는 삼류 국산영화는 범접조차 할수 없다 ,10,1
12,관람객슬프기 짝이 없는 상상. ,7,1
13,"관람객아이러니컬하게도, 꿈이라는 건 이루고 난 뒤보다 이루기 전까지가 실은 가장 행복했다는 걸, 이루고 난 뒤에야 깨닫는다는 인생의 진실을 가슴 아프게 그리고 아름답게 보여주는 영화 ",9,1
14,관람객다시 돌아간다면 지금과 달랐을까? ,8,1
15,관람객왤케눈물이나오는지..ㅠㅠ ,10,1
16,관람객서로의 꿈을 돌보아주고 키워가며 각자의 길을 응원하는 최고의 뮤지컬. ,10,1
17,"다미엔 차젤레 감독은 관객에게 황홀한 마법을 걸었다. 재즈에 대한 애정을 담아 연출했고 꿈 꾸는 모든 이들을 위한 영화. 롱테이크 오프닝 시퀀스, OST부터 이미 매료되었고 엔딩까지 한 편의 동화 같은 현실 이야기....",10,1
18,관람객영화 시작부터 깜짝놀랐다. 지금까지 본 음악영화 중에서 최고다. ,10,1
19,시간이 지나도 우리가 함께 꿈꾸었다는 사실은 변하지 않을 것이다. 그것이 비록 서로 다른 꿈이었을지라도... ,10,1
20,"관람객거의 마지막쯤에 나왔던 ""흐르는대로가자"" 라는 대사가 이 영화를 잘 나타내주었던 말인것 같다. 고민되고 힘이들땐 너무 많은 것을 생각하기보다는  내맘이 끌리는 대로 흐르는대로 가자! ",8,1
21,기대안하고봤는데 엔딩때 울었음..두번보세요 ,9,1
