,document,star,label
0,관람객왜 여성은 사랑을 해야하냐며 말하면서도 사랑을 받고 싶다고 외치던 장면이 너무나 울컥했다 ㅜ 조 꽃길만 걷길~ ,10,1
1,재밌다고 느끼면 추천을 아니다 비추천 ,10,1
2,관람객철없는 막내로만 재현되어왔던 에이미 캐릭터의 재발견. 어쩌면 자매 중에서 제일 고민이 많고 영리했을 여성으로. ,8,1
3,“자매를 미워하기엔 인생이 너무 짧아.“ 라는 명대사가 내 마음 속에 강하게 들어왔다. ,10,1
4,"조가 여자의 전부가 사랑이라는 말이 지긋지긋하지만 너무 외롭다는 말이 공감이 간다. 무기력해지는 자신을 보며 슬퍼하는 걸 보니,나를 보는것 같아 더 슬펐다. ",10,1
5,영화를 보고 나니 조를 응원하는 내 자신을 발견했다. 잔잔한 감동과 재미가 있는 영화. ,10,1
6,'우리의 어린시절이 끝이났다니 믿겨지지 않아.'격렬하고도 잔잔한 따뜻했던 가족이야기. ,9,1
7,13살 때 1995년도판 <작은 아씨들>을 보고 에이미를 네 자매 중 가장 미워했다. 에이미는 욕심많고 허영기 가득한 인물로 보였기 때문이다. 그런데 시간이 흘러 새로 각색한 <작은 아씨들>을 ...,10,1
8,"관람객엠마왓슨 진짜 존예.. 영화 너무 사랑스럽고 이뻐요.., ",10,1
9,"관람객영화보다가 나도 모르게 계속 눈물이 나더라.조에 입혀진 나를 만나고, 아직 갈팡질팡한 나에게 조는 말해주는 것 같았어요 ",10,1
10,내가 영화를 사랑하는 이유 ,8,1
11,관람객스포일러가 포함된 감상평입니다. 감상평 보기어렸을 땐 작은 아씨들의 결말을 이해할 수 없었다.  왜 베스가 죽어야하는지. 왜 조와 로리가 결혼하지 않는건지. 왜 이 평화롭고 즐겁고 활기찬 유년시절이 끝나야만하는지.그러나 이제는 행복하기만 한 순간은 끝날 수 ...,9,1
12,관람객조를 보는 내내 응원했다. 조의 마지막 선택이 아쉽다. ,10,1
13,잔잔하지만 깊은 호수같은 영화 ,10,1
14, 그냥 티모씨 나올 때마다 심장 부여잡고 봤다.. 나만 마지막 에이미 빡쳐...? ,8,1
15,관람객시간의 재배치로 고전을 새롭게 만든 그레타 거윅의 마술. 뛰어난 감독이 손을 대니 고전이 더욱 빛을 내는구나 ,8,1
16,관람객다 아는 내용인데 2020년을 사는 우리 이야기도 녹아 있다 ,10,1
17,관람객시얼샤로넌 연기 미쳤… 진짜 짱짱 ,10,1
18,관람객다들 왜이리 연기를 잘하는건가요.. ,10,1
19,내 꿈이 네 꿈과 다르다고 해서 중요하지 않은 건 아니야 ,10,1
20,"에이미가 조에게서 너무 많은 것들을 가져간 것 같음. 어떤 이는 에이미가 현실적이고 영리하다며 서포트 하겠지만 음 글쎄,, 나는 잘 모르겠다 ",8,1
21,조역할을 한 배우님 연가 되게 잘하시더라 ,10,1
22,스포일러가 포함된 감상평입니다. 감상평 보기티모시가 조에게 고백하는 씬은 진짜 내가 심장아팠음.. ,10,1
23,"한 장면, 장면마다 가슴 벅찰 정도로 행복감을 주는 영화.보는 내내 웃고 울었다. ",10,1
24,관람객스포일러가 포함된 감상평입니다. 감상평 보기왜.. 한남자는 이여자 저여자를다 좋아 하는 건가....0 ,8,1
25,관람객보는내내 왜우는지 모르겠는데 펑펑울어서 당황했어요... ㅠㅠ ,10,1
26,관람객아카데미에서 의상상 탔다더니 의상 진짜 이쁘..넋놓고 봤다 ㅎㅎ ,10,1
27,장면 하나하나가 모두 아름다운 영화다 ,10,1
28,관람객소설을 읽지 않아도 명작임을 느끼게 해준 영화 ,10,1
29,"이건 고전의 새로운 해석도 아닌, 그렇다고 새로운 고전도 아닌, 그저 고전 그 자체. 영화가 시간의 흐름 대신 천성에서 비롯된 사건의 대칭성을 선택해 실수를 거듭하더라도 발전하는 우리를 보여줘서 좋았다 ",8,1
30,“여자들에게는 마음이 있고 영혼뿐 아니라 마음도 있습니다. 그리고 그들은 야망을 가지고 있으며 아름다움뿐만 아니라 재능도 가지고 있습니다. 나는 사랑이 단지 모든 여성에게 적합하다고 말하는 사람들이 너무 아파요. 너...,10,1
31,관람객장면 하나하나가 아름다운 영화. 작가 조이자 여성 조의 인생을 전반적으로 다루고 있으며 푸른 필터와 노란 필터로 연출함으로써 그 사이의 간극을 왔다갔다하고 있다. 영화의 따듯한 분위기에 흥겹게 취해 하루를 따스히 보...,10,1
32,관람객제일 강한척하지만 누구보다 착하고 여린 조 ,10,1
33,관람객로리가 잘생겨서 더 재수없네요 ,8,1
