,document,star,label
0,마지막 요정 뜬금없다는분들이 많으신데 남주에게 추천해준 어린왕자의 주인공을 겹치게 표현한거라고 봅니다그리고 손톱의때라도 달여마시고싶다 라는부분이 좀 이상하게 생각하시는분들이 계실텐데 존경하는사람을 닮고싶다고할때 사용...,9,1
1,하루키(봄)의 계절에 사쿠라(벚꽃)가 잠시 머물다 갔다. 그시간은 벚꽃이 지는 시간만큼 너무나도 짧았지만 떨어지는 벚꽃잎처럼 아름답기만 했다. ,9,1
2,내용은 책이랑 똑같아서 좋은데 남주 울때 갑분울임... ,8,1
3,관람객기대했던만큼 정말 재미있었고 마지막에는 울었던 영화!불꽃놀이 장면이 너무예뻐서 아직도 잊혀지지가않아요 ,10,1
4,여러가지 태클을 걸데가 많았지만...  췌장이 모조리 씹어먹었다.. ,10,1
5,원작의 감동이 이어집니다~ 너무 잘 봤어여 ,10,1
6,영화관에 의외로 남자 여럿이서 보는거 보고 놀랐음 ,9,1
7,관람객원작을 잘 살린 장면들이 많았고 어린왕자 연출처럼 조금 뜬금없는 연출도 있었지만 재밌게 봤네요 / 엔딩 크레딧 후 영상있으니 챙겨보시길 ,8,1
8,관람객불꽃놀이 너무 감동적이네용 ,10,1
9,"원작 소설, 영화도 다봤고, 애니도 너무 좋음요 ㅜ ",10,1
10,"비주얼은 100점. 각본은 전체적으로 원작을 따라갔으나 클라이막스에서의 연출이 아쉽네요. 좀 더 담백하게 캐릭터들의 감정으로만 이끌어가길 원했는데, 갑작스러운 메르헨 연출로 감동이 다 깨져버렸어요. 원작 볼때처럼 펑...",7,1
11,어느 영화의 키스보다 더 설레이고 아름다웠던 허그 ,10,1
12,이거보고 울었다 끝내기가 아쉽다 ,10,1
13,애니메이션만의 감정선이 있네요... 배경 하나하나에 빠져서 봤습니다. 감독님 기대됩니다! ,10,1
14,"좋았다. 잔잔한 음악도, 아름다운 색채도.원작에 충실한 한편 애니메이션이기에 가능한 동화적 연출은 신선했고 보는이로 하여금 더욱 빠져들게 해준다... 마냥 눈물 빠지게 해준다고 다 좋은건 아니다. 함축된 연출은 고맙...",9,1
15,관람객책에 비해 생략된 내용도 있으나 충분히 재미있었습니다. ,10,1
16,"스미노요루, 시대의 명작가입니다. 정말 좋은 작품입니다. 다른 작품으로는 '또다시 같은 꿈을 꾸었어' 가 있는데, 그것도 애니 영화화 되었으면 하네요~ ",10,1
17,사쿠라가 죽은 당일 하루키에겐 오만가지 생각이 다 들었을듯내가 그날 사쿠라에게 보자 하지 않았더라면 그녀는 살았을텐데그날 그녀를 만나지 않았다면 이렇게 죽지는 않았을텐데자신을 자책하는 마음을 넘어 현실을 받아들이며 ...,10,1
18,쿠키영상 보고가요 하하 ,7,1
19,실사보다 제작에 더 많은 노력이 필요한 애니메이션....  좋은 애니메이션은 항상 관람료 이상의 만족을 준다. ,10,1
20,"관람객영화보단 애니 애니보단 소설이란 느낌.중요 장면들의 세세한 감정의 묘사가 인상 깊었던 영화와 달리, 그림의 한계인지 중요장면에서의 감정 묘사가 조금 아쉬움. 하지만 원작의 내용을 정말 잘 압축해 놓은 것 같아서 재미...",8,1
21,소설로 울리고 영화로 두 번 울린 작품 ,10,1
22,재밌어요 처음엔 말도 안되는 스토리겠다 싶었는데 볼수록 빠져들었어요 눈물참기가 힘들었음 ,9,1
23,관람객잔잔한 음악도 영화의 분위기도 다 내 취향이였고 너무 좋았다 ,10,1
24,원작소설을 읽으신 분이라면 생략되거나 교체된 장면이 꽤 있다는 것을 느낄겁니다. 그래도 느낌만큼은 제대로 전달하고 있는 것 같네요. 그리고 엔딩 크레딧 후에 추가 영상 있으니 보고 가세요. ,8,1
25,원작과 괴리감없이 깔끔하게 볼수있었어요 ,10,1
26,원작인 책의 내용을 충실하게 잘살린 부분도 많았고 특히 영상미가 정말 인상적이다고 생각이들었고 확실히 책을 읽었을때처럼 슬프고 여운이 많이  남는 애니라고 생각이 듭니다 영화가 끝나고 나가지 마시고 쿠키영상 까지 보...,10,1
27,"원작소설을 최대한 살리고자 노력했던 애니.실사영화에 비해서 개연성은 떨어지고, 함축적인 표현보다는 인물의 대사와 독백으로 영화전반을 끌어갔다는점이 아쉽지만, 소설 내용에 충실하게 감정선만큼은 흐트러짐없이 끌고나갔다는...",9,1
28,"실사판 영화,만화책,소설책,애니모두다 제미있네요. ",10,1
29,관람객서로가서로를닮고싶어하는두순수한영혼의만남 ,9,1
30,애니보면서 운적은 처음입니다 ,10,1
31,"실사 영화 봤던 것보다 훨씬 좋네요. 애니가 감정을 더 건드린다고 해야 하나? 어린왕자 비유도 좋았고요, 참고로 엔딩곡 끝나고 쿠키영상 있으니까 다 보고 나가세요! ",10,1
32,"소설은 안봤지만 오늘 애니메이션 개봉한다길래 친구들이랑 봤는데, 정말 재밌고 소설도 언제한번 읽고싶네요! ",10,1
33,"뭐 몇몇 충격적인 내용은 있었지만 진짜 몇백만원을 주고도 볼 명작이었음. 내가 방금 댓글보다가 든 생각인데, 이 영화 보는 사람들은 사람들도 아님?? 자기들은 관심있어서 들어오고 욕 엄청하고 가네. 그럴거면 댓글 달...",10,1
34,아니 이게 뭐야..? 으응..? ,1,0
35,제발 사쿠라가 살길 바라면서 봤다ㅠ 슬픈거 안 좋아하는데 이 영화는 너무 좋았다. 책도 구매해서 볼 예정이고 실사영화도 재개봉 한다면 보러 갈 것이다. ,10,1
36,불꽃놀이 장면이 너무예쁘네요 ,10,1
37,생각했던것보다 감동적이고 재미있었던 영화입니다.  작년에 개봉한 실사판보다  원작에 더 충실한 점이 좋았습니다. ,10,1
38,원작의 감동이 그대로 느껴짐. 극장에서 큰 화면으로 보니 진짜 감탄 뿐임. ,10,1
39,방금보고왔는데   기대없이 봤는데  전 좋았어요 !  나를 먼저 인정해야 남을 인정할수있다 .. ,8,1
40,보는 내내 울었네요. 너무나 슬프고도 아름답네요. ,10,1
41,마지막에 어린왕자를 추천해서 행성을 지나면서 하루키와 사쿠라의 추억을 떠올린건 알겠는데 연출이 너무 당황스러웠어요... 고인과의 추억 회상신에서 너무 밝고 화창한 느낌으로 나온거같아요 갑자기 일상에서 판타지되는 느낌...,7,1
42,애니메이션만의 감동이 있네요 정말 추천합니다 ,9,1
43,실사판 영화와는 다르게 남주 이름 맨 마지막에 나와서 정말 좋았고 OST들도 좋았고 원작 내용 잘 살리고 맨 마지막에 유서 그냥 읽었으면 조금 심심하게 느꼈을 지도 모르는 장면 어린 왕자랑 겹친 것도 괜찮았어요. 엔...,10,1
44,개 꿀잼 감동이 너무와 울었습니다 이거보고 책도 삼 ,10,1
45,"이용진이라는 정신병자로  강력히 의심되는 평론가가 평론이랍시고""네가 뭘먹던 난 구토할테니까""라고 적고서 1점을 준 영화의 애니메이션판입니다.  영화 안구립니다. 이용진씨는 정신병원가서 정신감정이나 받아...",9,1
46,남주의 찐따미가 피지컬 상승으로 인해 없어지긴 했지만...그래도 불꽃놀이 씬은 기대 이상이었따...예상했던거 보다 잘만들어 줘서 고마운 마음뿐 good!@! ,9,1
47,"'애니메이션'이기에 가능한, 지금까지의 너췌먹과는 조금 다른 너췌먹. 성우들의 연기도, 작화 연출도 정말 마음에 들었다. ",10,1
48,책이랑 거의 똑같아요 그리고 재미있습니다 ,10,1
49,원작은 진짜 잘살렸는데 마지막에 여주 요정(?) 뜬금없었음 나머지는 다 좋았어요 영상미도 예쁘고 ,10,1
50,솔직히 너의이름은 보다 더재밌게봤네요~ ,10,1
51,말이 필요한가? 책이든 애니든 여운이 하루종일 가게 하는... ,10,1
52,배울 게 많은 영화였다. ,10,1
53,항마력 테스트를 하고나온 기분이다. 그 와중에 감정이입은 충분했다. ,10,1
54,제목의 편견만 가지고 보지 않거나 비방하는문제는 아쉽다하지만 작품을 보면 제목이 가지는 힘 을 알 수 있다. ,10,1
55,"만화책이랑 소설 모두 남주가 절규하듯 우는 장면에서 크게 울컥해서 애니도 많이 기대했는데 너무 약했던거 같음... 확실히 감정표현에서는 부족했지만 불꽃놀이, 원작 책 표지 장면 연출은 진짜 좋았던거 같음 나름 볼만함...",8,1
56,이 영화 개봉전부터 기다리다가 겨우 봤는데 예상만큼이나 정말 재미있어요.특히 남주가 울 땐 저도...ㅠ^ㅠ 그래도 진짜 완전 재밌어요.대박 나실듯! ,10,1
57,관람객죽음과 성장이라는 서로 이질적인 주제에 대한 일본 문화계의 깊이와 성취를 보여주는 작품 ,9,1
58,"잔잔하지만, 여운이 강한 영화!! ",10,1
59, 인생 최고의 애니메이션! ,10,1
60,정말 너무도 오랜만에 깊은 여운을 느끼는 애니메이션이 아닐수 없다....후유증 너무 길게 갈것같다. ,10,1
61,일본은 애니나 소설이나 교훈과 감동을 줄수있게 잘만드는것같다 ,10,1
62,관람객오랜만에 재밌게 본 극장 애니메이션 ,10,1
63,원작과 극영화의 장점을 모두 보여주는 작품이네요. 애니매이션인만큼 그 영역에서 보여줄숭있는걸 보여주었고 원작도 1시간40분안에 잘살린  수작이네요. 마지막 엔딩도 넘좋았습니다. 먼저 나가지마시고 끝까지 보세요 ,9,1
64,관람객원작재현을 되게 잘했다. 불꽃놀이는 원작초월수준. ,10,1
65,처음 본 애니영화라 그런지 넘재밌고 슬프고 후유증 쩔어요... ,10,1
66,"관람객원작이 워낙 명작이라 주인공들과 주변 인물들의 개성, 정서, 그리고 인연, 삶에 대한 좋은 표현과 감동을 다시 느낄 수 있었습니다. ost 가사도 정말 와닿더라고요. ",10,1
67,일주일도 안되서 우리동네는 상영관 내렸네...  마동석 요즘 영화내는 족족 망하면서 상영관 독점오지고.. ,10,1
68,잘 보고왔습니다 소설내용 생각하며 봤는데 정말 좋았어요! ,10,1
69,마음 속 잔잔한 파도가 평범한 일상 속에 부딪혀 은은한 감동을 주는 영화 ,10,1
70,눈을 즐겁게 해주는 예쁜장면들이 많았고 주인공들의 감정을 잘 느낄수 있던 영화였습니다. 다만 남주가 울때 우는장면 자체는 괜찮았지만 개인적으론 성우분의 연기가 어색해 별로라고 느낀 것 같습니다. 그래도 올해 애니 중...,9,1
71,최고였습니다 ㅎㅎ 재밌어요 ,10,1
72,관람객너무재미있어요~!!너의이름은다음으로너의췌장을먹고싶어 짱! 다음작품기대돠요 ,10,1
73,개인적으로 영화보다 나았다. 다 아는 내용이지만 눈물찔끔 단 어린왕자 장면은 없애거나 좀 줄였으면 ,7,1
74,원작의 재미와감동이 이어집니다~~ ,10,1
75,전 영화에 있었던 쿄코의 결혼 장면도 추가했었으면 좋았었겠네요 그래도 원작의 느낌을 잘살렸고 전 애니매이션쪽이더 정감가네요 ,9,1
