,document,star,label
0,아니 개봉당일날 9시 땡하고 부터 평점 쏟아지는게 말이 돼냐? 요즘 조조는 꼭두새벽부터 함? 백번양보해서 시사회때 봤다 쳐도 이렇게나 많이 봤다고? 죄다 똑같은 말투에? 음원이고 영화고 조작질 역겹다 진짜 ,1,0
1,"난 전도연의 화류계 캐릭터가 좋다. 무뢰한, 너는 내 운명, 카운트다운...그리고 지푸라기 ",10,1
2,전도연 연기 진짜 오진다...와 이 영화에서 완전 섹시하게 나온다 역시 명불허전임... ,10,1
3,8명의 배우가 모두 주인공 같은 느낌. ,10,1
4,개존잼 역시 전도연이죠? 카리스마 미쳐벌여ㅠㅁㅠ ,9,1
5,영화 보는 내내 제발 한순간만이라도 재미있는 장면 나오길 지푸라기 잡는 심정으로 봤는데 없음 ,1,0
6,"연출, 연기, 스토리 모두 대박...무조건 보세요. ",10,1
7,관람객연기오지고 스릴오지고 ,9,1
8,한국식 피칠갑을 한 타란티노 영화 ,9,1
9,관람객이걸 스토리니 재밌다니 하는 애들은  조선에서 영화첨보늬? 시간이 아까웠고 끔찍했다 다시보진말자 ,1,0
10,스토리가 짱짱하네요~ 심리적인 긴장감을 잘 살린 영화인것 같네요~ 인기좀 끌듯... ,10,1
11,관람객진짜 보고싶었던 영환데 드디어 봤습니당 기다린 보람이 있네용ㅋㅋㅋ 등장인물이 많았는데 영화 속에서 잘 풀어낸 것 같아요 강추합니당 !! ,9,1
12,"관람객연기 쩐다잉 ,,, 또 보고 싶음 ㅠ ",10,1
13,관람객전도연 등장하자마자 걍 스크린 장악함ㅋㅋㅋㅋ역시 전도연이 선택한 작품은 안보고 넘어갈 수 없지 ,10,1
14,"전도연을 위한, 전도연에 의한 영화! 데뷔작이라고는 믿을수 없는 연출력에놀랐다~ ",10,1
15,관람객갖은 재료 다 집어넣었는데 왜 맛이 안나지? ,7,1
16,방금 보고 왔는데 지금 심정이 지푸라기라도 잡고 싶은 심정이다 ,1,0
17,이 캐스팅 너무 마음에 든다.영화보고나서도 할말이 많아지는 영화 ,10,1
18,진짜 전도연은 대체불가다. ,10,1
19,"관람객믿고보는 칸의 여왕 전도연!! 정우성, 배성우 등등 진짜 미친 명품 조연들...!! 스릴러의 긴장도, 몰입도 괜찮은 영화~ ",10,1
20,와 ㅋㅋ 이게 9점대 영화라고? 진짜 해도해도 너무하네 알바좀 적당히 풉시다 6~7점대면 이해라도 하겠는데 ,1,0
21,솔직히 이 영화 돈주고 볼만합니다ㅎㅎ ,9,1
22,관람객외모를 엉뚱한데다 쓰는 답답한 짐승들 ,2,0
