,document,star,label
0,최고의 영화.. 아직도 가슴이 먹먹하고 눈물이 나온다. 장국영이 보고싶다. ,10,1
1,이 정도면 인류의 유산이라고 평가하고 싶다. ,10,1
2,내 인생 최고의 영화. 나의 영화감상은 패왕별희를 보기전과 보고난 후로 나뉘어질 정도다. 평점 10점도 짜다고 생각함. 시나리오의 탄탄함과 그것을 완벽함으로 이끌어낸 배우들의 연기력. 최고다. ,10,1
3,"20여년전 어릴 적 봤을 때도 임펙트가 대단했는데 나이먹고 보니 더 대단하다...패왕별희를 능가할 중국영화가 다시 나올 수 있을까도 궁금하다...장국영은 이 영화로 영원히 살아 숨쉬는거야,.,. ",10,1
4,극 속 우희의 삶도 삶이지만 집단 사고가 얼마나 무서운 전염병인지 절실히 느꼈다. 누군지도 모를 사람의 한마디에 휩쓸려 인민들이 쉽사리 말을 바꾸고 목청을 높이는 대목이 너무나도 소름끼쳤다... ,10,1
5," 물밀듯 쳐들어오는 한나라 앞에서 자결한 우희, 물밀듯 쳐들어오는 시대 앞에서 자결한 데이. ",10,1
6,"역시나 지금까지 인구에 회자되는 명작은 다르다. 인생과 사랑과 예술과 역사가 서로 오묘하게 교직되어 공명하면서도 충돌하고, 모순되면서도 합일을 이루어낸다. 어떤 영화가 인간의 삶을 이토록 다양한 각도에서 총체적으로 ...",10,1
7,보다 미칠수도 있음 .... ,10,1
8,지림 ,10,1
9,할말이 없다. ,10,1
10,예술은시대로부터자유로워야한다 ,8,1
11,"패왕별희를 흉내낼 수 있는 영화는 있을 수 있으나 패왕별희가 주는 그 충격적인 느낌과 감정들은 이 영화에서밖에 느낄 수 없다. 이쁘지도 않고 거칠며, 우아하지도 않고 투박하다. 하지만 눈을 뗄 수 없고 잊혀지지 않는...",10,1
12,예술이 경지에 다다르면 대중성을 갖게 된다. ,10,1
13,데이와 쥬산의 저마다의 사랑이 서글픈 영화 ,10,1
14,장국영이라는 배우가 지금 이 세상에없다는게 정말 안타깝다. ,10,1
15,한평생을 원했던 도즈 ,10,1
